"hospital","total_bill_amount"
"Inc Torres","158607.97"
"Smith-Williams","158481.04"
"Valdez LLC","158432.45"
"LLC Jackson","158228.49"
"Scott Inc","158032.35"
"Robinson Group","158019.99"
"LLC Evans","157746.16"
"Young Group","157686.62"
"Inc Thomas","157554.58"
"Alvarado LLC","156719.43"
"Allen Inc","156543.08"
"Inc Wilson","156449.67"
"Inc Morales","155525.93"
"Nelson PLC","155388.20"
"Sons Smith and","155181.55"
"Rodriguez and Sons","155050.23"
"LLC Palmer","154973.87"
"Green Inc","154678.25"
"Inc Campbell","154389.26"
"Baker Sons and","154270.76"
"Williams-Jones","154071.40"
"Snyder PLC","153737.34"
"and Sons Johnson","153686.32"
"Martinez PLC","153630.46"
"and Smith Sons","153179.53"
"LLC Hall","153035.76"
"Hernandez Inc","152837.88"
"Group Moore","152759.70"
"and Jackson Sons","152619.82"
"Morgan Ltd","152444.57"
"Mitchell Ltd","152151.99"
"Perry Group","151620.55"
"Roberts Ltd","151494.63"
"Brown-Williams","151143.57"
"Lewis Inc","151122.56"
"Cruz PLC","150903.99"
"and Martinez Sons","150474.46"
"Griffin Group","150340.50"
"Rodriguez LLC","150096.63"
"Jones-Rodriguez","149953.32"
"Inc King","149784.17"
"Inc Roberts","149775.66"
"Wood Group","149759.86"
"Navarro LLC","148958.67"
"Inc Cruz","148510.64"
"PLC Reyes","147656.26"
"Lewis Group","147397.41"
"Ltd Rivera","147358.92"
"Inc Williamson","147228.56"
"Ramirez PLC","147122.07"
"PLC Cruz","147046.45"
"Hill PLC","147045.35"
"Hall-Taylor","146908.04"
"Little Ltd","146693.20"
"Smith-Davis","146583.86"
"Miller-Anderson","146474.44"
"Ltd Jimenez","146336.82"
"PLC Harper","146106.10"
"Kim Inc","145680.00"
"Group Patterson","145554.45"
"Gomez Inc","145529.95"
"Inc Ferguson","145431.67"
"Moore Group","145398.54"
"LLC Coleman","145017.99"
"LLC Griffin","144978.46"
"Lopez Ltd","144970.21"
"Simmons Group","144931.68"
"Thompson LLC","144909.46"
"Wright Ltd","144643.32"
"Ltd Stevens","144432.43"
"LLC Stewart","144384.51"
"Baker Ltd","144317.96"
"Moreno LLC","144238.12"
"Ltd Rodriguez","143869.35"
"Group Peterson","143379.61"
"Ltd Baker","143354.65"
"Murray PLC","143214.10"
"Inc Weber","143178.41"
"PLC Wright","143145.73"
"Green LLC","142899.27"
"Johnson-Taylor","142890.37"
"King Group","142788.29"
"Group Edwards","142763.56"
"Shaw Sons and","142588.21"
"Group Burns","142367.36"
"Richardson Ltd","141609.89"
"PLC Bailey","141342.44"
"Walker and Sons","141255.90"
"PLC Parker","141114.48"
"LLC Reed","140953.94"
"Sons Davis and","140916.75"
"LLC Turner","140847.38"
"Peterson LLC","140795.62"
"LLC Brooks","140769.52"
"Sons Wilson and","140719.56"
"LLC Edwards","140680.50"
"Collins Inc","140600.92"
"Anderson Ltd","140469.52"
"Baker PLC","140227.15"
"Young Ltd","139927.45"
"Cole LLC","139719.69"
"Ltd Austin","139480.26"
"Group Sullivan","139371.50"
"Ltd Cruz","139230.41"
"Wells Group","138904.65"
"Inc Allen","138636.97"
"Ltd Wallace","137939.12"
"Inc Freeman","137635.16"
"Hayes Inc","137323.50"
"Sons and Taylor","137198.63"
"Bryant Group","136992.34"
"Kelley PLC","136865.75"
"Group Young","136479.89"
"Henry Inc","136453.04"
"PLC Morris","136441.52"
"Hernandez and Sons","136088.26"
"Hernandez-Miller","136080.98"
"Roberts Inc","136019.58"
"Wagner LLC","135973.12"
"Rodriguez Sons and","135834.89"
"Scott PLC","135773.35"
"Group Taylor","135600.69"
"Group Webb","135531.72"
"Flores LLC","135444.50"
"Wright Inc","135169.93"
"Young Inc","135158.20"
"Ltd Young","135139.89"
"Franklin Group","135119.34"
"Perez and Sons","134785.14"
"LLC Adams","134751.98"
"Ward Inc","134635.27"
"Ltd Estrada","134607.59"
"Stewart Group","134572.02"
"Shelton Inc","134333.26"
"Diaz Group","134234.37"
"PLC Russell","134085.66"
"and Johnson Sons","133931.38"
"Diaz PLC","133804.64"
"Group White","133646.00"
"LLC Green","133517.48"
"Knight PLC","133396.14"
"and Harris Sons","133354.13"
"Ortiz Group","133163.52"
"PLC Mason","132777.95"
"Rios Group","132693.39"
"Wilson and Sons","132622.69"
"Mitchell PLC","132420.07"
"Smith and Sons","132194.60"
"Parker Group","132009.89"
"Stone Inc","131656.42"
"Bailey Inc","131584.65"
"Ellis Group","131578.18"
"Dawson Inc","131564.96"
"Johnson-Gonzalez","131089.18"
"Collins Ltd","131079.64"
"Group Mitchell","131057.45"
"Ltd Olson","131054.36"
"Mitchell Group","131020.64"
"Foster Ltd","130960.16"
"Morales Group","130388.83"
"Group Allen","130346.25"
"LLC Mitchell","130117.53"
"Sanchez LLC","129634.08"
"Williams-Hayes","129527.78"
"Sons and Hernandez","129491.11"
"and Gonzalez Sons","129405.94"
"Brown-Smith","129277.47"
"Group Stokes","129071.25"
"Group Mason","129037.79"
"LLC Gutierrez","128971.69"
"Group Montgomery","128796.96"
"PLC Morgan","128373.32"
"Foster Inc","128321.82"
"PLC Garza","128205.93"
"Ltd Vargas","127982.49"
"Kelly Ltd","127829.11"
"Brooks Ltd","127606.37"
"Vasquez LLC","127509.83"
"Chapman Group","127210.47"
"Group Jacobs","126957.85"
"Harris Ltd","126733.85"
"Sons and Lopez","126673.82"
"Mcdonald LLC","126545.98"
"Sons Lee and","126529.56"
"Ltd Delgado","126519.80"
"Taylor Group","126290.83"
"Clark Group","126211.66"
"Miller and Sons","126067.94"
"Group Butler","126051.14"
"and Gray Sons","126045.72"
"Group Yates","126038.39"
"Walters PLC","125933.75"
"PLC Peterson","125649.39"
"Lee-Miller","125522.97"
"Ltd Gonzalez","125510.34"
"Harvey PLC","125348.65"
"PLC Hernandez","125336.17"
"Inc Peterson","125330.74"
"PLC Fisher","125297.65"
"Edwards LLC","125112.28"
"Stewart PLC","125046.45"
"PLC Adams","124913.52"
"Butler LLC","124903.33"
"Group Phillips","124805.23"
"Inc Perkins","124674.26"
"Group Armstrong","124645.03"
"Ltd Gray","124642.02"
"PLC Martinez","124589.25"
"Inc Ramirez","124552.63"
"Chen PLC","124541.48"
"Ltd Robinson","124483.29"
"Peterson Inc","124396.66"
"Elliott LLC","124375.53"
"PLC Walker","124174.01"
"Inc Meyer","124076.60"
"Inc Lewis","123903.41"
"Group Kelley","123700.26"
"Carter Ltd","123655.79"
"Ltd Long","123594.97"
"Sons and Miller","123457.88"
"Russell PLC","123312.45"
"Cole Ltd","123311.57"
"Inc Tyler","122872.29"
"Meyer Group","122707.85"
"Coleman Inc","122693.95"
"Gibson Ltd","122494.93"
"LLC Stone","122310.48"
"Inc Cox","122298.89"
"Ltd Griffith","122248.34"
"Group Cross","122104.72"
"PLC Perry","121965.59"
"Ltd Kelley","121953.78"
"Ltd Owens","121845.04"
"LLC Hill","121384.39"
"Lee Inc","121363.26"
"Perry Inc","121318.85"
"Wood Inc","121316.54"
"Arnold Inc","121278.82"
"Group Bennett","121160.53"
"Group Ortega","121088.06"
"Inc Wood","121005.44"
"PLC King","120972.11"
"Ltd Patterson","120857.73"
"Garcia Sons and","120855.84"
"Bowman Ltd","120819.06"
"Group Reed","120669.81"
"Group Hunt","120507.37"
"LLC Carter","120490.25"
"Ward LLC","120076.36"
"Campbell Inc","120045.52"
"Group Davidson","120041.46"
"Ltd Nguyen","120000.71"
"Sons and Gonzalez","119967.35"
"Turner Inc","119878.08"
"Sons Hunt and","119764.76"
"and Robinson Sons","119758.62"
"Group Nguyen","119662.10"
"PLC Webb","119598.28"
"Inc Swanson","119559.15"
"and Sons Long","119542.52"
"Group Hayes","119503.46"
"Inc Ross","119479.00"
"Cobb Inc","119379.18"
"Sons Hawkins and","119366.87"
"Pham Ltd","119198.85"
"Inc Mckee","118928.54"
"PLC Rogers","118649.11"
"Johnson-Lopez","118520.56"
"Gordon LLC","118507.67"
"Marsh Ltd","118363.42"
"Wallace PLC","118337.52"
"Patterson Group","118249.31"
"Lewis LLC","118215.33"
"Hernandez Group","118078.08"
"Davis-Brown","117911.44"
"Williams-Garcia","117680.16"
"Inc Murphy","117657.39"
"Bailey PLC","117633.75"
"Skinner Ltd","117588.71"
"Ellison and Sons","117501.34"
"Bryant Sons and","117407.18"
"Evans PLC","117403.06"
"Jackson LLC","117275.52"
"Cohen LLC","117236.83"
"Ltd Navarro","117185.42"
"Wiley LLC","117085.29"
"Warren PLC","117019.04"
"Armstrong LLC","117004.39"
"Group Cole","116799.86"
"Ltd Garcia","116794.11"
"Group Washington","116773.62"
"Bates Ltd","116659.31"
"Ltd Weber","116612.84"
"PLC Soto","116453.65"
"LLC Lucas","116438.22"
"Inc James","116378.36"
"Stevenson LLC","116217.50"
"Ltd Webb","116107.88"
"Torres Inc","116050.45"
"Young-Johnson","115844.86"
"LLC Hardy","115841.83"
"Sons Taylor and","115747.32"
"Ltd Walker","115580.94"
"Lawrence LLC","115473.09"
"Hall-Smith","115412.20"
"Inc Burns","115400.57"
"Johnson-Johnson","115355.08"
"LLC Daniels","115310.87"
"Williams-Wilson","115291.08"
"Jones-Williams","115269.29"
"Ward Ltd","115202.23"
"Inc Hardy","115103.69"
"Inc Rivera","115071.54"
"Ltd Salas","114932.53"
"Johnson-Gray","114684.33"
"Adams and Sons","114675.84"
"Bryant LLC","114605.47"
"Inc Morrow","114483.12"
"PLC Hill","114436.43"
"Smith-Brown","114266.26"
"Sons and Jackson","114241.72"
"LLC Barrera","114236.09"
"and Sons Carter","114234.12"
"Johnson-Myers","114170.07"
"Inc Ellis","113964.03"
"Martin-Nguyen","113853.67"
"Wood Ltd","113792.61"
"and Sons Knight","113786.81"
"Bates Inc","113774.40"
"PLC Cox","113772.83"
"Wright LLC","113665.80"
"Hall Sons and","113659.41"
"James PLC","113654.32"
"Baldwin Inc","113562.48"
"Matthews Group","113447.26"
"Gonzalez PLC","113348.71"
"Ellis PLC","113327.32"
"LLC Ramirez","113322.21"
"Lucas Inc","113309.50"
"Jones-Lopez","113257.26"
"PLC Hanson","113203.50"
"Inc Mullen","113163.55"
"Reynolds Inc","113102.81"
"Henderson LLC","112973.73"
"Christian Inc","112838.70"
"Sons Brown and","112838.16"
"Allison Ltd","112797.31"
"LLC Wood","112658.55"
"Hill-Johnson","112623.34"
"PLC Barnes","112560.89"
"Ltd Ray","112531.78"
"Reyes PLC","112442.33"
"Jones-Johnson","112441.95"
"LLC Hardin","112414.36"
"Inc Rangel","112103.66"
"Graham Group","112085.35"
"Nelson and Sons","111902.13"
"Perez LLC","111791.09"
"and Sons Miller","111753.64"
"Davidson LLC","111686.99"
"LLC Thomas","111656.01"
"Sons Gonzalez and","111636.98"
"Group Fisher","111630.62"
"Ltd Hansen","111605.51"
"Davis-Alexander","111556.59"
"Ltd King","111526.17"
"Cruz Ltd","111490.16"
"Edwards Ltd","111423.96"
"PLC Mitchell","111344.19"
"Lucas Ltd","111152.74"
"Wells and Sons","110981.30"
"Patterson Ltd","110966.99"
"White-Thompson","110929.55"
"Ford PLC","110856.13"
"Bell LLC","110836.79"
"Group Mcdonald","110748.36"
"Group Owens","110613.98"
"Campbell Ltd","110544.74"
"and Sons Garcia","110408.14"
"Castillo Ltd","110354.35"
"Molina Group","110232.81"
"Perez PLC","110209.81"
"Morales Ltd","110113.75"
"Phillips Group","110078.86"
"Inc Vasquez","110075.92"
"Ltd Castillo","110055.88"
"Ltd James","110037.04"
"and Campbell Sons","109930.43"
"LLC Miller","109929.20"
"Cook LLC","109709.12"
"LLC Cooper","109693.63"
"PLC Armstrong","109631.28"
"Ltd Cohen","109612.88"
"and Sons Scott","109579.20"
"PLC Myers","109574.69"
"Inc Hamilton","109407.07"
"Group Maldonado","109400.73"
"Inc Reid","109353.21"
"Fisher PLC","109352.82"
"and Sons Walker","109325.99"
"Inc Gonzales","109309.31"
"LLC Cook","108953.43"
"and Sons Brown","108901.95"
"PLC Obrien","108889.55"
"Sons Wright and","108854.73"
"Morgan LLC","108803.03"
"Rodriguez-Smith","108750.78"
"Group Dyer","108727.54"
"Watson Ltd","108692.84"
"Pena PLC","108689.25"
"Tucker PLC","108485.60"
"Wood LLC","108426.53"
"Inc Richards","108409.50"
"Sullivan-Thomas","108288.76"
"Bell PLC","108094.62"
"LLC Myers","108067.70"
"Nelson Group","108042.63"
"PLC Torres","108001.44"
"Inc Green","107988.15"
"Hunter PLC","107917.77"
"Ruiz LLC","107860.07"
"Inc Daniels","107848.63"
"Walsh PLC","107794.31"
"Ltd Rogers","107754.54"
"Sullivan Ltd","107681.97"
"PLC Gutierrez","107642.72"
"Reed Sons and","107477.72"
"Inc Baker","107414.67"
"Alexander Group","107306.40"
"Green-Brown","107225.94"
"Henderson PLC","107114.67"
"Group Lucero","107054.73"
"Tran LLC","107040.10"
"Hall-Johnson","107032.58"
"Marshall PLC","106936.10"
"Inc Bell","106915.51"
"Morgan Inc","106790.48"
"and Evans Sons","106645.10"
"Turner PLC","106616.28"
"Sons and Rodriguez","106605.01"
"Schmidt-Thomas","106544.20"
"Simmons Ltd","106446.44"
"Group Harper","106070.28"
"Hughes LLC","106047.77"
"Ltd Bryant","105979.77"
"Group Roberts","105888.58"
"Le PLC","105865.30"
"Group Hill","105788.46"
"Ltd Lin","105748.39"
"King PLC","105716.11"
"PLC Wells","105712.47"
"Richardson Inc","105689.59"
"LLC Patterson","105632.92"
"Zimmerman Group","105585.42"
"Cook-Johnson","105570.85"
"Navarro Group","105480.91"
"Ltd Warren","105464.86"
"Garcia-Davis","105368.78"
"Flores-Garcia","105348.32"
"LLC Andrews","105257.40"
"Wells LLC","105126.94"
"and Brown Sons","105093.08"
"Ltd Stewart","105084.02"
"Carter Group","104941.12"
"Sons and Lee","104821.18"
"and Gutierrez Sons","104804.48"
"Kline Ltd","104776.53"
"Flores Inc","104617.60"
"Thompson-Rodriguez","104616.02"
"Ltd Hunt","104565.73"
"LLC Montoya","104400.71"
"Jimenez Inc","104278.23"
"Ltd Evans","103983.37"
"Group Morales","103850.04"
"Inc Simon","103842.14"
"PLC Ramos","103719.16"
"PLC Ramsey","103673.86"
"Brown-Brown","103611.86"
"Chung PLC","103596.34"
"Murphy-Garcia","103535.05"
"Cook PLC","103509.11"
"Howard Ltd","103376.39"
"Group Hudson","103243.12"
"Peterson Group","103198.63"
"Jones-Anderson","103083.79"
"and Pearson Sons","103035.61"
"Stevens PLC","103030.62"
"PLC Ward","102823.88"
"Burns LLC","102642.42"
"Group Nelson","102622.94"
"Mendez-Rodriguez","102576.13"
"Group Hughes","102515.16"
"James Inc","102471.04"
"and Thompson Sons","102276.31"
"Lara PLC","102268.08"
"PLC Hughes","102250.97"
"Group Lawson","102195.01"
"and Sons Thomas","102027.44"
"Jackson-Williams","101988.01"
"Martin-Jones","101963.89"
"Ltd Hale","101952.04"
"Ortiz PLC","101886.33"
"Rowland Inc","101806.71"
"Gonzales and Sons","101736.82"
"Group Cannon","101557.47"
"Ltd Diaz","101498.63"
"Sanchez-Brown","101361.92"
"Brown and Sons","101291.13"
"Group Evans","101267.30"
"Riley Inc","101244.87"
"Sharp LLC","101094.82"
"Armstrong PLC","101064.28"
"Sons and Sanchez","100987.40"
"Walsh Ltd","100963.96"
"Fisher Ltd","100873.46"
"Snyder Ltd","100856.96"
"Day LLC","100856.43"
"Ltd Salazar","100780.87"
"Inc Edwards","100557.51"
"Aguilar Ltd","100534.10"
"Burke Group","100495.68"
"Sanchez-Johnson","100491.06"
"Group Graham","100456.02"
"Ltd Butler","100398.18"
"PLC Jordan","100323.28"
"Ltd Robertson","100313.23"
"Sons Clark and","100278.72"
"Woods Ltd","100172.17"
"Tucker Ltd","100073.31"
"LLC Perry","99919.97"
"Ltd Green","99901.40"
"Sons White and","99851.88"
"PLC Watson","99751.39"
"Ltd Grant","99566.08"
"Ltd Sandoval","99484.10"
"Ltd Huff","99445.26"
"Jones-Gray","99376.84"
"Sons and Murphy","99370.74"
"Inc Henry","99309.85"
"Robinson Ltd","99192.67"
"Cole Group","99079.38"
"Ltd Byrd","98988.28"
"LLC Hopkins","98972.22"
"Garcia-Hughes","98868.32"
"Ruiz PLC","98796.14"
"LLC Maldonado","98762.14"
"Roberts Group","98743.96"
"Group Gray","98649.96"
"Thompson Group","98618.90"
"PLC Osborne","98578.91"
"and Davis Sons","98368.80"
"Chapman PLC","98315.29"
"and Lee Sons","98282.40"
"Ltd Nolan","98169.28"
"Austin LLC","98159.36"
"LLC Woods","98126.08"
"PLC Fritz","98121.78"
"Spencer LLC","98100.27"
